psr,ra,dec,project
J1802-2124,4.721503567817841,-0.37351852866689483,['NANOGrav']
J1804-2717,4.731379113412993,-0.4763359226703833,['EPTA']
J1811-2405,4.761829381980043,-0.42042298617799273,['NANOGrav']
J1824-2452A,4.81943642910351,-0.43405821170071646,['PPTA']
J1832-0836,4.854021851148429,-0.1503654449124564,"['NANOGrav', 'PPTA']"
J1843-1113,4.903012527735066,-0.19591838852399948,"['EPTA', 'NANOGrav']"
J1853+1303,4.947813382634882,0.2279788299013199,['NANOGrav']
J1857+0943,4.9637447993452515,0.1696712479680448,"['EPTA', 'PPTA']"
J1902-5105,4.9831218459449085,-0.8918489852293432,['PPTA']
J1903+0327,4.987699548280418,0.06030661205983063,['NANOGrav']
J1909-3744,5.016907743530111,-0.6586412787753957,"['EPTA', 'NANOGrav', 'PPTA']"
J1910+1256,5.018527109381765,0.22585281287711384,"['EPTA', 'NANOGrav']"
J1911+1347,5.0261995212849655,0.240731246090523,"['EPTA', 'NANOGrav']"
J1918-0642,5.056221251837486,-0.11710620918887577,"['EPTA', 'NANOGrav']"
J1923+2515,5.076180392957719,0.4408921080906715,['NANOGrav']
J1933-6211,5.1205351976392635,-1.0855302812141854,['PPTA']
J1939+2134,5.1471621907226135,0.3766958017469706,['PPTA']
J1944+0907,5.166853176113608,0.15922716811321902,['NANOGrav']
J1946+3417,5.176728612645483,0.5984281474173361,['NANOGrav']
J2010-1323,5.282960527334721,-0.23385537550502172,['NANOGrav']
J2017+0603,5.311815432883161,0.1056192525260029,['NANOGrav']
J2033+1734,5.381978032257889,0.3068793964984387,['NANOGrav']
J2043+1711,5.425129104588612,0.3000456405172567,['NANOGrav']
J2124-3358,5.605695602901511,-0.5930479453482291,"['EPTA', 'NANOGrav', 'PPTA']"
J2129-5721,5.625979700144773,-1.0010155041413233,['PPTA']
J2145-0750,5.697806167447879,-0.13680733997139014,"['NANOGrav', 'PPTA']"
J2214+3000,5.82349869289204,0.5237838401460594,['NANOGrav']
J2229+2643,5.889823223925002,0.466573153926281,['NANOGrav']
J2234+0611,5.909617780584579,0.1080586633721508,['NANOGrav']
J2234+0944,5.911346875588321,0.17002492811944295,['NANOGrav']
J2241-5236,5.941540008293354,-0.9182190369069136,['PPTA']
J2302+4442,6.033528763836873,0.7802691426757806,['NANOGrav']
J2317+1439,6.096234046136392,0.25584228623048394,['NANOGrav']
J2322+2057,6.119003286616978,0.3656594497830078,"['EPTA', 'NANOGrav']"
